Date,Cash,CELG,CRM,ATTO,DFJ,EFA,SWPPX,OPGIX,TCEHY,BLCM,FOSL,IVV,MSI,NEE,WB,SNAP
1/1/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/2/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/3/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/4/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/5/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/8/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/9/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/10/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/11/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/12/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/15/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/16/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/17/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/18/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/19/2018,193114.685,0,0,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/22/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/23/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/24/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/25/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/26/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/29/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/30/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
1/31/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/1/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/2/2018,92723.165,0,0,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/5/2018,77683.505,0,0,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/6/2018,77683.505,0,0,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/7/2018,77683.505,0,0,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/8/2018,77683.505,0,0,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/9/2018,77683.505,0,0,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/12/2018,77683.505,0,195,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/13/2018,77683.505,0,195,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/14/2018,77683.505,0,195,1030,1194,2900,12921.83,0,0,0,2049,367.3,0,0,0,0
2/15/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/16/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/19/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/20/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/21/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/22/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/23/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/26/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/27/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
2/28/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/1/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/2/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/5/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/6/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/7/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/8/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/9/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/12/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/13/2018,112455.035,0,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
3/14/2018,92447.555,0,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/15/2018,92447.555,0,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/16/2018,92447.555,0,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/19/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/20/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/21/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/22/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/23/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/26/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/27/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/28/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/29/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
3/30/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/2/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/3/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/4/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/5/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/6/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/9/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/10/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/11/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/12/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/13/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/16/2018,62790.005,335,195,1030,1194,2900,12921.83,0,0,2434,0,367.3,0,0,0,0
4/17/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/18/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/19/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/20/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/23/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/24/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/25/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/26/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/27/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
4/30/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
5/1/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
5/2/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
5/3/2018,84622.985,335,195,1030,1194,2900,12921.83,0,0,0,0,367.3,0,0,0,0
5/4/2018,181468.325,335,195,1030,0,2900,12921.83,0,0,0,0,367.3,0,0,0,0
5/7/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/8/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/9/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/10/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/11/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/14/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/15/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/16/2018,32650.93,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,367.3,0,0,0,0
5/17/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/18/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/21/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/22/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/23/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/24/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/25/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/28/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/29/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/30/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
5/31/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/1/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/4/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/5/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/6/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/7/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/8/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/11/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/12/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/13/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/14/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/15/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/18/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/19/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/20/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/21/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/22/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/25/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/26/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/27/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/28/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
6/29/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/2/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/3/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/4/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/5/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/6/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/9/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/10/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/11/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/12/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/13/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/16/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/17/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/18/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/19/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/20/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/23/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/24/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/25/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/26/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/27/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/30/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
7/31/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/1/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/2/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/3/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/6/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
8/7/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
